Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
174,WO114982-10,67,338,2023-11-27 12:37:51.600,,,,
153,WO114983-10,67,160,2023-11-27 09:40:00.000,,,,
191,WO115002-10,30,14520,2024-01-15 09:06:00.000,,,,
196,WO115082-20,3,70,2023-11-27 08:21:00.000,,,,
282,WO115084-10,67,976,2023-11-29 07:15:37.800,2024-01-31 00:00:00.000,-63 days +07:15:37.800000,-64 days +14:59:37.800000,0 days 16:16:00
279,WO115085-10,38,0,2023-12-11 14:55:00.000,2024-01-31 00:00:00.000,-51 days +14:55:00,-51 days +14:55:00,0 days 00:00:00
111,WO115095-20,39,2194,2023-12-04 07:45:00.000,2023-11-29 00:00:00.000,5 days 07:45:00,3 days 19:11:00,1 days 12:34:00
111,WO115095-30,69,0,2023-12-04 12:45:00.000,2023-11-29 00:00:00.000,5 days 12:45:00,5 days 12:45:00,0 days 00:00:00
110,WO115096-20,39,1502,2023-11-30 11:35:00.000,2023-11-29 00:00:00.000,1 days 11:35:00,0 days 10:33:00,1 days 01:02:00
110,WO115096-30,69,221,2023-12-04 07:35:00.000,2023-11-29 00:00:00.000,5 days 07:35:00,5 days 03:54:00,0 days 03:41:00
124,WO115097-10,42,2495,2023-12-04 14:15:00.000,2023-11-10 00:00:00.000,24 days 14:15:00,22 days 20:40:00,1 days 17:35:00
124,WO115097-20,39,61,2023-12-05 13:00:00.000,2023-11-10 00:00:00.000,25 days 13:00:00,25 days 11:59:00,0 days 01:01:00
124,WO115097-30,69,136,2023-12-06 13:00:00.000,2023-11-10 00:00:00.000,26 days 13:00:00,26 days 10:44:00,0 days 02:16:00
279,WO115098-10,84,7886,2023-12-05 14:10:00.000,2024-01-31 00:00:00.000,-57 days +14:10:00,-62 days +02:44:00,5 days 11:26:00
279,WO115098-20,24,667,2023-12-07 10:37:00.000,2024-01-31 00:00:00.000,-55 days +10:37:00,-56 days +23:30:00,0 days 11:07:00
279,WO115098-30,69,1040,2023-12-11 14:25:00.000,2024-01-31 00:00:00.000,-51 days +14:25:00,-52 days +21:05:00,0 days 17:20:00
230,WO115106-20,69,6918,2023-12-18 07:33:00.000,,,,
200,WO115118-20,47,20412,2024-02-09 09:20:00.000,,,,
104,WO115119-10,84,322,2023-11-30 10:37:00.000,2023-10-27 00:00:00.000,34 days 10:37:00,34 days 05:15:00,0 days 05:22:00
104,WO115119-20,47,279,2023-12-21 10:30:00.000,2023-10-27 00:00:00.000,55 days 10:30:00,55 days 05:51:00,0 days 04:39:00
127,WO115120-20,47,9364,2024-01-23 07:32:00.000,2023-12-15 00:00:00.000,39 days 07:32:00,32 days 19:28:00,6 days 12:04:00
205,WO115142-10,67,519,2023-11-28 06:54:56.400,,,,
17,WO115150-10,38,65,2023-11-28 11:25:00.000,2023-11-27 00:00:00.000,1 days 11:25:00,1 days 10:20:00,0 days 01:05:00
24,WO115151-10,38,0,2023-11-29 10:25:00.000,2023-11-27 00:00:00.000,2 days 10:25:00,2 days 10:25:00,0 days 00:00:00
25,WO115152-10,38,0,2023-11-29 11:24:42.600,2023-11-27 00:00:00.000,2 days 11:24:42.600000,2 days 11:24:42.600000,0 days 00:00:00
8,WO115153-10,38,0,2023-11-27 14:00:00.000,2023-11-27 00:00:00.000,0 days 14:00:00,0 days 14:00:00,0 days 00:00:00
16,WO115154-10,38,95,2023-11-28 10:55:00.000,2023-11-27 00:00:00.000,1 days 10:55:00,1 days 09:20:00,0 days 01:35:00
21,WO115155-10,67,0,2023-11-29 07:55:00.000,2023-11-27 00:00:00.000,2 days 07:55:00,2 days 07:55:00,0 days 00:00:00
23,WO115156-10,38,0,2023-11-29 08:55:00.000,2023-11-27 00:00:00.000,2 days 08:55:00,2 days 08:55:00,0 days 00:00:00
17,WO115165-10,16|17,0,2023-11-27 07:00:00.000,,,,
17,WO115165-20,9,636,2023-11-28 09:20:00.000,,,,
16,WO115174-10,16|17,0,2023-11-27 07:29:56.400,,,,
16,WO115174-20,9,547,2023-11-28 08:20:00.000,2023-11-27 00:00:00.000,1 days 08:20:00,0 days 23:13:00,0 days 09:07:00
24,WO115175-10,16|17,47,2023-11-27 07:47:00.000,,,,
24,WO115175-20,9,1090,2023-11-29 08:55:00.000,2023-11-27 00:00:00.000,2 days 08:55:00,1 days 14:45:00,0 days 18:10:00
24,WO115176-10,16|17,30,2023-11-27 07:30:00.000,,,,
24,WO115176-20,9,1077,2023-11-29 08:25:00.000,,,,
25,WO115177-10,16|17,60,2023-11-27 08:00:00.000,,,,
25,WO115177-20,9,1167,2023-11-29 10:25:00.000,,,,
8,WO115185-10,16|17,0,2023-11-27 07:00:00.000,,,,
8,WO115185-20,9,300,2023-11-27 12:30:00.000,,,,
21,WO115194-20,9,1077,2023-11-29 07:25:00.000,,,,
8,WO115195-20,9,360,2023-11-27 13:00:00.000,,,,
23,WO115196-20,9,1107,2023-11-29 07:55:00.000,2023-11-27 00:00:00.000,2 days 07:55:00,1 days 13:28:00,0 days 18:27:00
25,WO115198-10,16|17,59,2023-11-27 07:59:56.400,,,,
25,WO115198-20,9,1138,2023-11-29 09:55:00.000,2023-11-27 00:00:00.000,2 days 09:55:00,1 days 14:57:00,0 days 18:58:00
17,WO115201-10,16|17,0,2023-11-27 08:30:00.000,,,,
17,WO115201-20,9,516,2023-11-28 08:50:00.000,,,,
24,WO115203-20,9,1197,2023-11-29 09:25:00.000,,,,
20,WO115215-10,84,0,2023-11-27 09:00:00.000,,,,
20,WO115215-20,69,0,2023-11-27 11:30:00.000,,,,
16,WO115265-10,36,0,2023-11-27 07:00:00.000,,,,
17,WO115266-10,36,60,2023-11-27 08:00:00.000,,,,
17,WO115267-10,36,30,2023-11-27 07:30:00.000,,,,
173,WO115273-10,38,0,2023-12-04 13:00:00.000,,,,
175,WO115274-10,38,0,2023-12-04 14:00:00.000,,,,
142,WO115275-10,38,0,2023-12-01 11:23:41.400,,,,
173,WO115278-10,38,2720,2023-12-04 12:00:00.000,,,,
173,WO115280-10,38,2750,2023-12-04 12:30:00.000,,,,
142,WO115281-10,38,2338,2023-12-01 10:54:00.000,,,,
175,WO115286-10,38,2810,2023-12-04 13:30:00.000,,,,
9,WO115333-10,38,90,2023-11-27 08:30:00.000,2023-11-27 00:00:00.000,0 days 08:30:00,0 days 07:00:00,0 days 01:30:00
7,WO115334-10,38,60,2023-11-27 08:00:00.000,2023-11-27 00:00:00.000,0 days 08:00:00,0 days 07:00:00,0 days 01:00:00
10,WO115335-10,38,0,2023-11-27 15:10:00.000,2023-11-27 00:00:00.000,0 days 15:10:00,0 days 15:10:00,0 days 00:00:00
5,WO115336-10,38,0,2023-11-27 11:51:00.000,2023-11-27 00:00:00.000,0 days 11:51:00,0 days 11:51:00,0 days 00:00:00
10,WO115346-10,67,0,2023-11-27 14:10:00.000,2023-11-27 00:00:00.000,0 days 14:10:00,0 days 14:10:00,0 days 00:00:00
10,WO115350-20,9,390,2023-11-27 13:30:00.000,,,,
5,WO115369-10,84,0,2023-11-27 10:51:00.000,2023-11-27 00:00:00.000,0 days 10:51:00,0 days 10:51:00,0 days 00:00:00
31,WO115381-10,67,30,2023-11-27 09:44:00.000,2024-02-20 00:00:00.000,-85 days +09:44:00,-85 days +09:14:00,0 days 00:30:00
277,WO115384-10,84,7876,2023-12-05 14:20:00.000,2024-01-30 00:00:00.000,-56 days +14:20:00,-61 days +03:04:00,5 days 11:16:00
277,WO115384-20,69,21310,2024-02-06 14:00:00.000,2024-01-30 00:00:00.000,7 days 14:00:00,-8 days +18:50:00,14 days 19:10:00
170,WO115395-30,104,1638,2023-12-02 08:10:00.000,2023-12-13 00:00:00.000,-11 days +08:10:00,-12 days +04:52:00,1 days 03:18:00
170,WO115395-40,91,526,2023-12-18 09:46:00.000,2023-12-13 00:00:00.000,5 days 09:46:00,5 days 01:00:00,0 days 08:46:00
158,WO115399-30,31,198,2023-11-27 10:18:00.000,,,,
158,WO115399-40,68,0,2023-11-29 07:51:00.000,2023-11-25 00:00:00.000,4 days 07:51:00,4 days 07:51:00,0 days 00:00:00
158,WO115399-50,31,1813,2023-12-13 11:41:00.000,2023-11-25 00:00:00.000,18 days 11:41:00,17 days 05:28:00,1 days 06:13:00
169,WO115448-10,67,2104,2023-12-06 08:39:00.000,2023-11-24 00:00:00.000,12 days 08:39:00,10 days 21:35:00,1 days 11:04:00
166,WO115470-20,24,1172,2023-11-30 08:03:00.000,2023-11-23 00:00:00.000,7 days 08:03:00,6 days 12:31:00,0 days 19:32:00
157,WO115471-20,24,177,2023-11-28 07:55:00.000,2023-11-22 00:00:00.000,6 days 07:55:00,6 days 04:58:00,0 days 02:57:00
234,WO115494-10,84,5688,2023-12-04 12:39:00.000,2023-12-20 00:00:00.000,-16 days +12:39:00,-20 days +13:51:00,3 days 22:48:00
234,WO115494-20,69,17623,2024-01-30 10:00:00.000,2023-12-20 00:00:00.000,41 days 10:00:00,29 days 04:17:00,12 days 05:43:00
155,WO115500-10,38,0,2023-12-13 14:51:00.000,2023-11-22 00:00:00.000,21 days 14:51:00,21 days 14:51:00,0 days 00:00:00
155,WO115501-10,67,0,2023-12-13 13:51:00.000,2023-11-22 00:00:00.000,21 days 13:51:00,21 days 13:51:00,0 days 00:00:00
155,WO115502-10,67,0,2023-11-27 15:08:00.000,2023-11-22 00:00:00.000,5 days 15:08:00,5 days 15:08:00,0 days 00:00:00
155,WO115504-10,67,207,2023-11-27 11:46:00.000,2023-11-22 00:00:00.000,5 days 11:46:00,5 days 08:19:00,0 days 03:27:00
155,WO115506-10,16|17,942,2023-11-30 12:28:00.000,2023-11-22 00:00:00.000,8 days 12:28:00,7 days 20:46:00,0 days 15:42:00
155,WO115506-20,9,4181,2023-12-13 11:15:00.000,2023-11-22 00:00:00.000,21 days 11:15:00,18 days 13:34:00,2 days 21:41:00
155,WO115507-10,16|17,981,2023-11-28 12:35:00.000,2023-11-22 00:00:00.000,6 days 12:35:00,5 days 20:14:00,0 days 16:21:00
155,WO115507-20,9,5286,2023-12-13 11:45:00.000,2023-11-22 00:00:00.000,21 days 11:45:00,17 days 19:39:00,3 days 16:06:00
155,WO115508-20,83,147,2023-11-27 09:27:00.000,,,,
155,WO115516-10,36,320,2023-11-27 12:20:00.000,,,,
233,WO115517-10,38,41,2024-01-22 11:30:00.000,2023-12-20 00:00:00.000,33 days 11:30:00,33 days 10:49:00,0 days 00:41:00
233,WO115520-10,67,9300,2024-01-19 11:05:00.000,2023-12-20 00:00:00.000,30 days 11:05:00,24 days 00:05:00,6 days 11:00:00
233,WO115522-10,16|17,616,2023-12-21 07:23:00.000,2023-12-20 00:00:00.000,1 days 07:23:00,0 days 21:07:00,0 days 10:16:00
233,WO115522-20,9,147,2023-12-21 12:50:00.000,2023-12-20 00:00:00.000,1 days 12:50:00,1 days 10:23:00,0 days 02:27:00
233,WO115523-10,16|17,2584,2023-12-05 06:40:00.000,2023-12-20 00:00:00.000,-15 days +06:40:00,-17 days +11:36:00,1 days 19:04:00
233,WO115523-20,9,4860,2023-12-19 08:00:00.000,2023-12-20 00:00:00.000,-1 days +08:00:00,-5 days +23:00:00,3 days 09:00:00
233,WO115547-20,9,7786,2023-12-19 07:00:00.000,2023-12-20 00:00:00.000,-1 days +07:00:00,-7 days +21:14:00,5 days 09:46:00
99,WO115551-10,16|17,150,2023-11-27 09:29:43.800,,,,
234,WO115556-10,67,0,2024-01-30 12:44:00.000,2023-12-20 00:00:00.000,41 days 12:44:00,41 days 12:44:00,0 days 00:00:00
234,WO115557-20,24,3346,2023-12-06 13:53:00.000,2023-12-20 00:00:00.000,-14 days +13:53:00,-16 days +06:07:00,2 days 07:46:00
234,WO115557-30,69,3408,2023-12-18 14:13:00.000,2023-12-20 00:00:00.000,-2 days +14:13:00,-4 days +05:25:00,2 days 08:48:00
234,WO115559-10,69,7328,2023-12-18 14:40:00.000,,,,
206,WO115567-10,2|1,2368,2023-12-07 07:25:00.000,2023-12-11 00:00:00.000,-4 days +07:25:00,-6 days +15:57:00,1 days 15:28:00
206,WO115568-10,2|1,2584,2023-12-06 10:02:00.000,2023-12-11 00:00:00.000,-5 days +10:02:00,-7 days +14:58:00,1 days 19:04:00
206,WO115569-10,2|1,3876,2023-12-08 06:39:00.000,2023-12-11 00:00:00.000,-3 days +06:39:00,-6 days +14:03:00,2 days 16:36:00
11,WO115574-10,67,0,2023-11-27 07:53:00.000,2023-11-27 00:00:00.000,0 days 07:53:00,0 days 07:53:00,0 days 00:00:00
11,WO115575-10,2|1,0,2023-11-27 07:23:00.000,2023-11-27 00:00:00.000,0 days 07:23:00,0 days 07:23:00,0 days 00:00:00
22,WO115580-10,67,0,2023-11-27 12:08:00.000,2023-11-27 00:00:00.000,0 days 12:08:00,0 days 12:08:00,0 days 00:00:00
22,WO115584-10,2|1,30,2023-11-27 07:30:00.000,,,,
22,WO115591-10,2|1,0,2023-11-27 09:38:00.000,2023-11-27 00:00:00.000,0 days 09:38:00,0 days 09:38:00,0 days 00:00:00
12,WO115595-10,38,0,2023-11-28 09:44:52.800,2023-11-27 00:00:00.000,1 days 09:44:52.800000,1 days 09:44:52.800000,0 days 00:00:00
12,WO115597-20,9,490,2023-11-27 15:10:00.000,,,,
12,WO115610-20,9,450,2023-11-27 14:40:00.000,,,,
12,WO115637-20,9,420,2023-11-27 14:00:00.000,,,,
6,WO115651-10,38,0,2023-11-28 10:25:00.000,2023-11-27 00:00:00.000,1 days 10:25:00,1 days 10:25:00,0 days 00:00:00
6,WO115652-10,38,0,2023-11-28 09:55:00.000,2023-11-27 00:00:00.000,1 days 09:55:00,1 days 09:55:00,0 days 00:00:00
6,WO115667-20,9,300,2023-11-27 12:00:00.000,,,,
6,WO115671-20,9,240,2023-11-27 11:00:00.000,,,,
6,WO115700-20,9,270,2023-11-27 11:30:00.000,,,,
13,WO115727-10,38,120,2023-11-27 09:00:00.000,,,,
306,WO115730-10,16|17,146,2024-01-31 13:17:00.000,2024-02-20 00:00:00.000,-20 days +13:17:00,-20 days +10:51:00,0 days 02:26:00
306,WO115730-20,67,344,2024-02-01 10:45:00.000,2024-02-20 00:00:00.000,-19 days +10:45:00,-19 days +05:01:00,0 days 05:44:00
306,WO115730-30,9,707,2024-02-05 09:00:00.000,2024-02-20 00:00:00.000,-15 days +09:00:00,-16 days +21:13:00,0 days 11:47:00
306,WO115732-20,69,2795,2023-12-04 13:44:28.800,,,,
306,WO115733-10,16|17,404,2024-01-08 07:33:00.000,,,,
306,WO115734-20,69,20789,2024-01-24 14:41:00.000,2024-02-20 00:00:00.000,-27 days +14:41:00,-41 days +04:12:00,14 days 10:29:00
306,WO115735-20,69,22718,2024-01-30 14:50:00.000,2024-02-20 00:00:00.000,-21 days +14:50:00,-37 days +20:12:00,15 days 18:38:00
306,WO115737-20,69,13826,2024-01-04 10:32:00.000,,,,
136,WO115738-10,38,0,2023-12-01 10:54:00.000,,,,
136,WO115742-10,38,2308,2023-12-01 10:24:00.000,,,,
136,WO115743-10,38,1935,2023-12-01 09:54:00.000,,,,
272,WO115744-10,38,3712,2023-12-06 11:00:00.000,2024-01-15 00:00:00.000,-40 days +11:00:00,-43 days +21:08:00,2 days 13:52:00
272,WO115745-10,38,3682,2023-12-06 10:30:00.000,2024-01-15 00:00:00.000,-40 days +10:30:00,-43 days +21:08:00,2 days 13:22:00
272,WO115746-10,67,735,2023-11-28 12:14:00.000,2024-01-15 00:00:00.000,-48 days +12:14:00,-49 days +23:59:00,0 days 12:15:00
272,WO115747-10,38,3684,2023-12-06 10:32:42.000,2024-01-15 00:00:00.000,-40 days +10:32:42,-43 days +21:08:42,2 days 13:24:00
272,WO115748-10,38,3714,2023-12-06 11:02:42.000,2024-01-15 00:00:00.000,-40 days +11:02:42,-43 days +21:08:42,2 days 13:54:00
136,WO115762-10,2|1,188,2023-11-27 12:13:00.000,,,,
235,WO115801-10,38,3321,2023-12-05 13:45:00.000,2023-12-20 00:00:00.000,-15 days +13:45:00,-17 days +06:24:00,2 days 07:21:00
140,WO115803-10,24,87,2023-11-27 08:27:00.000,,,,
140,WO115803-20,69,724,2023-11-28 14:45:00.000,,,,
19,WO115805-10,38,0,2023-11-29 07:40:00.000,2023-11-27 00:00:00.000,2 days 07:40:00,2 days 07:40:00,0 days 00:00:00
19,WO115811-10,16|17,0,2023-11-27 07:57:00.000,,,,
19,WO115811-20,9,959,2023-11-29 06:55:00.000,,,,
19,WO115812-10,16|17,0,2023-11-27 07:17:00.000,,,,
19,WO115812-20,9,969,2023-11-28 15:10:00.000,,,,
19,WO115813-10,67,0,2023-11-28 14:00:00.000,,,,
19,WO115814-10,38,36,2023-11-29 07:10:00.000,,,,
19,WO115815-10,38,321,2023-11-27 12:20:41.400,2023-11-27 00:00:00.000,0 days 12:20:41.400000,0 days 06:59:41.400000,0 days 05:21:00
19,WO115821-10,16|17,0,2023-11-27 09:39:00.000,,,,
19,WO115821-20,9,507,2023-11-28 12:00:00.000,,,,
19,WO115823-10,16|17,0,2023-11-27 09:39:00.000,,,,
19,WO115823-20,9,667,2023-11-28 14:40:00.000,,,,
241,WO115839-10,2|1,6460,2023-12-19 11:03:00.000,2024-02-09 00:00:00.000,-52 days +11:03:00,-57 days +23:23:00,4 days 11:40:00
241,WO115839-20,77,9933,2024-01-19 11:19:00.000,2024-02-09 00:00:00.000,-21 days +11:19:00,-28 days +13:46:00,6 days 21:33:00
241,WO115839-30,69,1605,2024-01-30 11:14:00.000,2024-02-09 00:00:00.000,-10 days +11:14:00,-11 days +08:29:00,1 days 02:45:00
186,WO115840-10,68,1638,2023-12-01 11:33:00.000,2023-11-30 00:00:00.000,1 days 11:33:00,0 days 08:15:00,1 days 03:18:00
186,WO115840-30,31,12113,2024-01-16 08:31:00.000,2023-11-30 00:00:00.000,47 days 08:31:00,38 days 22:38:00,8 days 09:53:00
186,WO115840-40,68,405,2024-01-20 07:21:00.000,2023-11-30 00:00:00.000,51 days 07:21:00,51 days 00:36:00,0 days 06:45:00
186,WO115840-50,31,0,2024-01-30 10:02:00.000,2023-11-30 00:00:00.000,61 days 10:02:00,61 days 10:02:00,0 days 00:00:00
165,WO115843-20,39,3336,2023-12-07 12:10:00.000,2023-11-23 00:00:00.000,14 days 12:10:00,12 days 04:34:00,2 days 07:36:00
165,WO115843-40,39,4524,2023-12-12 09:10:00.000,2023-11-23 00:00:00.000,19 days 09:10:00,16 days 05:46:00,3 days 03:24:00
21,WO115851-10,38,791,2023-11-28 11:40:00.000,,,,
299,WO115853-10,67,2889,2024-02-19 11:17:00.000,2024-02-19 00:00:00.000,0 days 11:17:00,-2 days +11:08:00,2 days 00:09:00
299,WO115858-10,84,10208,2023-12-07 08:10:00.000,2024-02-19 00:00:00.000,-74 days +08:10:00,-81 days +06:02:00,7 days 02:08:00
299,WO115858-20,69,21680,2024-02-08 12:43:00.000,2024-02-19 00:00:00.000,-11 days +12:43:00,-26 days +11:23:00,15 days 01:20:00
20,WO115865-10,38,50,2023-11-27 12:50:41.400,2023-11-27 00:00:00.000,0 days 12:50:41.400000,0 days 12:00:41.400000,0 days 00:50:00
15,WO115866-10,38,0,2023-12-04 09:15:00.000,2023-11-27 00:00:00.000,7 days 09:15:00,7 days 09:15:00,0 days 00:00:00
20,WO115868-10,67,0,2023-11-27 07:00:00.000,2023-11-27 00:00:00.000,0 days 07:00:00,0 days 07:00:00,0 days 00:00:00
15,WO115870-10,38,210,2023-11-27 12:00:00.000,2023-11-27 00:00:00.000,0 days 12:00:00,0 days 08:30:00,0 days 03:30:00
15,WO115871-10,16|17,0,2023-12-01 07:10:00.000,,,,
15,WO115871-20,9,276,2023-12-04 08:30:00.000,2023-11-27 00:00:00.000,7 days 08:30:00,7 days 03:54:00,0 days 04:36:00
15,WO115872-10,38,120,2023-11-27 10:00:00.000,2023-11-27 00:00:00.000,0 days 10:00:00,0 days 08:00:00,0 days 02:00:00
15,WO115873-10,2|1,0,2023-11-27 07:00:00.000,,,,
15,WO115874-10,16|17,0,2023-11-27 17:01:00.000,2023-11-27 00:00:00.000,0 days 17:01:00,0 days 17:01:00,0 days 00:00:00
15,WO115874-20,9,0,2023-11-28 07:10:00.000,2023-11-27 00:00:00.000,1 days 07:10:00,1 days 07:10:00,0 days 00:00:00
15,WO115874-30,67,0,2023-11-28 11:54:00.000,2023-11-27 00:00:00.000,1 days 11:54:00,1 days 11:54:00,0 days 00:00:00
144,WO115892-20,24,88,2023-11-28 10:01:00.000,2023-12-04 00:00:00.000,-6 days +10:01:00,-6 days +08:33:00,0 days 01:28:00
144,WO115892-30,69,2209,2023-12-06 12:45:00.000,2023-12-04 00:00:00.000,2 days 12:45:00,0 days 23:56:00,1 days 12:49:00
126,WO115893-20,24,0,2023-11-27 13:40:00.000,2023-11-13 00:00:00.000,14 days 13:40:00,14 days 13:40:00,0 days 00:00:00
126,WO115893-30,69,1094,2023-11-30 10:42:00.000,2023-11-13 00:00:00.000,17 days 10:42:00,16 days 16:28:00,0 days 18:14:00
222,WO115894-10,67,16940,2024-01-26 08:38:00.000,2023-12-15 00:00:00.000,42 days 08:38:00,30 days 14:18:00,11 days 18:20:00
133,WO115917-10,2|1,2584,2023-12-11 11:03:00.000,2023-11-15 00:00:00.000,26 days 11:03:00,24 days 15:59:00,1 days 19:04:00
133,WO115917-20,77,4251,2024-01-04 10:05:00.000,2023-11-15 00:00:00.000,50 days 10:05:00,47 days 11:14:00,2 days 22:51:00
133,WO115917-30,69,311,2024-01-10 13:52:00.000,2023-11-15 00:00:00.000,56 days 13:52:00,56 days 08:41:00,0 days 05:11:00
271,WO115922-10,38,3531,2023-12-06 08:29:56.400,,,,
271,WO115923-10,38,3502,2023-12-06 08:00:00.000,,,,
271,WO115924-10,38,3501,2023-12-06 07:29:56.400,,,,
221,WO115932-10,38,0,2023-12-20 12:37:00.000,2023-12-15 00:00:00.000,5 days 12:37:00,5 days 12:37:00,0 days 00:00:00
221,WO115933-10,38,0,2023-12-18 15:14:27.000,2023-12-15 00:00:00.000,3 days 15:14:27,3 days 15:14:27,0 days 00:00:00
221,WO115935-10,2|1,672,2023-11-28 08:00:56.400,,,,
221,WO115935-20,9,7109,2023-12-18 14:45:00.000,,,,
221,WO115942-10,38,2268,2023-12-05 12:34:37.800,2023-12-15 00:00:00.000,-10 days +12:34:37.800000,-12 days +22:46:37.800000,1 days 13:48:00
221,WO115943-10,2|1,997,2023-11-28 14:36:00.000,2023-12-15 00:00:00.000,-17 days +14:36:00,-18 days +21:59:00,0 days 16:37:00
221,WO115948-10,38,1537,2023-12-05 13:04:37.800,2023-12-15 00:00:00.000,-10 days +13:04:37.800000,-11 days +11:27:37.800000,1 days 01:37:00
221,WO115949-10,16|17,1999,2023-11-30 09:45:46.200,,,,
221,WO115953-10,38,5,2023-12-19 06:59:27.000,2023-12-15 00:00:00.000,4 days 06:59:27,4 days 06:54:27,0 days 00:05:00
221,WO115956-20,58,7499,2023-12-18 14:39:00.000,2023-12-15 00:00:00.000,3 days 14:39:00,-2 days +09:40:00,5 days 04:59:00
221,WO115956-30,46,0,2023-12-18 15:09:00.000,2023-12-15 00:00:00.000,3 days 15:09:00,3 days 15:09:00,0 days 00:00:00
221,WO115958-10,38,2698,2023-12-05 12:04:37.800,2023-12-15 00:00:00.000,-10 days +12:04:37.800000,-12 days +15:06:37.800000,1 days 20:58:00
221,WO115959-10,38,2378,2023-12-05 12:45:00.000,2023-12-15 00:00:00.000,-10 days +12:45:00,-12 days +21:07:00,1 days 15:38:00
221,WO115960-10,2|1,1003,2023-11-28 12:57:00.000,2023-12-15 00:00:00.000,-17 days +12:57:00,-18 days +20:14:00,0 days 16:43:00
221,WO115961-10,2|1,0,2023-11-28 06:56:56.400,2023-12-15 00:00:00.000,-17 days +06:56:56.400000,-17 days +06:56:56.400000,0 days 00:00:00
221,WO115962-10,2|1,462,2023-11-27 14:41:56.400,,,,
199,WO115967-10,2|1,825,2023-11-28 12:21:00.000,,,,
199,WO115967-20,9,5871,2023-12-14 12:30:00.000,2023-12-08 00:00:00.000,6 days 12:30:00,2 days 10:39:00,4 days 01:51:00
198,WO115968-10,67,104,2023-11-28 08:58:00.000,,,,
221,WO115969-10,38,337,2023-12-05 12:15:00.000,2023-12-15 00:00:00.000,-10 days +12:15:00,-10 days +06:38:00,0 days 05:37:00
221,WO115970-10,38,0,2023-12-18 14:45:00.000,2023-12-15 00:00:00.000,3 days 14:45:00,3 days 14:45:00,0 days 00:00:00
221,WO115971-30,42,1943,2023-11-30 13:05:00.000,2023-12-15 00:00:00.000,-15 days +13:05:00,-16 days +04:42:00,1 days 08:23:00
221,WO115971-40,39,0,2023-11-30 13:35:00.000,2023-12-15 00:00:00.000,-15 days +13:35:00,-15 days +13:35:00,0 days 00:00:00
221,WO115972-10,31,2844,2023-12-04 14:54:00.000,2023-12-15 00:00:00.000,-11 days +14:54:00,-13 days +15:30:00,1 days 23:24:00
221,WO115973-30,42,2003,2023-11-30 14:05:00.000,2023-12-15 00:00:00.000,-15 days +14:05:00,-16 days +04:42:00,1 days 09:23:00
221,WO115973-40,39,0,2023-11-30 14:35:00.000,2023-12-15 00:00:00.000,-15 days +14:35:00,-15 days +14:35:00,0 days 00:00:00
221,WO115974-10,2|1,543,2023-11-27 16:03:00.000,2023-12-15 00:00:00.000,-18 days +16:03:00,-18 days +07:00:00,0 days 09:03:00
221,WO115974-20,69,1527,2023-11-30 15:00:00.000,2023-12-15 00:00:00.000,-15 days +15:00:00,-16 days +13:33:00,1 days 01:27:00
221,WO115975-10,31,2832,2023-12-04 14:42:00.000,2023-12-15 00:00:00.000,-11 days +14:42:00,-13 days +15:30:00,1 days 23:12:00
221,WO115976-10,2|1,3286,2023-12-04 14:03:00.000,2023-12-15 00:00:00.000,-11 days +14:03:00,-13 days +07:17:00,2 days 06:46:00
221,WO115976-20,69,0,2023-12-04 14:38:00.000,2023-12-15 00:00:00.000,-11 days +14:38:00,-11 days +14:38:00,0 days 00:00:00
221,WO115977-10,18,0,2023-11-27 07:16:00.000,,,,
221,WO115977-20,9,7639,2023-12-18 14:15:00.000,2023-12-15 00:00:00.000,3 days 14:15:00,-2 days +06:56:00,5 days 07:19:00
221,WO115988-10,38,26,2023-12-15 07:00:00.000,2023-12-15 00:00:00.000,0 days 07:00:00,0 days 06:34:00,0 days 00:26:00
221,WO115990-10,24,2946,2023-12-11 12:05:00.000,2023-12-15 00:00:00.000,-4 days +12:05:00,-6 days +10:59:00,2 days 01:06:00
221,WO115990-20,69,1243,2023-12-14 14:50:00.000,2023-12-15 00:00:00.000,-1 days +14:50:00,-2 days +18:07:00,0 days 20:43:00
221,WO115991-20,70,3811,2023-12-07 09:29:00.000,2023-12-15 00:00:00.000,-8 days +09:29:00,-11 days +17:58:00,2 days 15:31:00
221,WO115991-30,69,723,2023-12-11 08:50:00.000,2023-12-15 00:00:00.000,-4 days +08:50:00,-5 days +20:47:00,0 days 12:03:00
221,WO115993-10,38,0,2023-12-06 10:02:56.400,2023-12-15 00:00:00.000,-9 days +10:02:56.400000,-9 days +10:02:56.400000,0 days 00:00:00
198,WO116001-10,67,489,2023-11-27 15:09:56.400,,,,
209,WO116002-10,16|17,624,2023-11-29 14:04:00.000,,,,
209,WO116002-20,9,5874,2023-12-18 09:00:00.000,2023-12-13 00:00:00.000,5 days 09:00:00,1 days 07:06:00,4 days 01:54:00
221,WO116003-10,73|93,420,2023-12-06 04:00:00.000,2023-12-15 00:00:00.000,-9 days +04:00:00,-10 days +21:00:00,0 days 07:00:00
209,WO116004-20,24,852,2023-11-28 12:47:00.000,,,,
221,WO116005-10,84,5584,2023-12-01 10:00:00.000,2023-12-15 00:00:00.000,-14 days +10:00:00,-18 days +12:56:00,3 days 21:04:00
