Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
319,WO116909-10,2|1,246,2023-12-13 11:54:00.000,2024-04-24 00:00:00.000,-133 days +11:54:00,-133 days +07:48:00,0 days 04:06:00
319,WO116910-10,2|1,30,2023-12-22 10:16:00.000,2024-04-24 00:00:00.000,-124 days +10:16:00,-124 days +09:46:00,0 days 00:30:00
319,WO116911-10,2|1,336,2024-01-25 13:21:00.000,2024-04-24 00:00:00.000,-90 days +13:21:00,-90 days +07:45:00,0 days 05:36:00
319,WO116912-10,2|1,0,2023-12-21 16:44:00.000,2024-04-24 00:00:00.000,-125 days +16:44:00,-125 days +16:44:00,0 days 00:00:00
319,WO116913-10,2|1,177,2024-01-25 11:57:00.000,2024-04-24 00:00:00.000,-90 days +11:57:00,-90 days +09:00:00,0 days 02:57:00
319,WO116914-10,2|1,343,2024-01-25 13:10:00.000,2024-04-24 00:00:00.000,-90 days +13:10:00,-90 days +07:27:00,0 days 05:43:00
319,WO116915-10,2|1,308,2024-01-25 11:44:00.000,2024-04-24 00:00:00.000,-90 days +11:44:00,-90 days +06:36:00,0 days 05:08:00
319,WO116916-10,2|1,877,2024-01-26 10:50:00.000,2024-04-24 00:00:00.000,-89 days +10:50:00,-90 days +20:13:00,0 days 14:37:00
319,WO116917-10,2|1,6173,2023-12-08 15:45:00.000,2024-04-24 00:00:00.000,-138 days +15:45:00,-142 days +08:52:00,4 days 06:53:00
319,WO116918-10,2|1,9,2023-12-22 10:27:00.000,2024-04-24 00:00:00.000,-124 days +10:27:00,-124 days +10:18:00,0 days 00:09:00
319,WO116919-10,2|1,229,2024-01-25 13:01:00.000,2024-04-24 00:00:00.000,-90 days +13:01:00,-90 days +09:12:00,0 days 03:49:00
319,WO116920-10,2|1,241,2024-01-25 12:07:00.000,2024-04-24 00:00:00.000,-90 days +12:07:00,-90 days +08:06:00,0 days 04:01:00
319,WO116921-10,38,0,2024-02-07 11:45:00.000,2024-04-24 00:00:00.000,-77 days +11:45:00,-77 days +11:45:00,0 days 00:00:00
319,WO116922-10,38,0,2024-02-07 09:45:00.000,2024-04-24 00:00:00.000,-77 days +09:45:00,-77 days +09:45:00,0 days 00:00:00
319,WO116923-10,67,10898,2024-03-12 11:53:00.000,2024-04-24 00:00:00.000,-43 days +11:53:00,-51 days +22:15:00,7 days 13:38:00
319,WO116924-10,2|1,286,2024-01-24 09:45:00.000,2024-04-24 00:00:00.000,-91 days +09:45:00,-91 days +04:59:00,0 days 04:46:00
319,WO116925-10,2|1,451,2024-01-24 12:33:00.000,2024-04-24 00:00:00.000,-91 days +12:33:00,-91 days +05:02:00,0 days 07:31:00
319,WO116926-10,2|1,616,2024-01-25 07:45:00.000,2024-04-24 00:00:00.000,-90 days +07:45:00,-91 days +21:29:00,0 days 10:16:00
319,WO116927-10,16|17,0,2024-01-23 15:05:00.000,2024-04-24 00:00:00.000,-92 days +15:05:00,-92 days +15:05:00,0 days 00:00:00
319,WO116927-20,9,4249,2024-02-05 14:30:00.000,2024-04-24 00:00:00.000,-79 days +14:30:00,-82 days +15:41:00,2 days 22:49:00
319,WO116928-10,16|17,0,2024-01-23 15:08:00.000,2024-04-24 00:00:00.000,-92 days +15:08:00,-92 days +15:08:00,0 days 00:00:00
319,WO116928-20,9,4216,2024-02-05 14:00:00.000,2024-04-24 00:00:00.000,-79 days +14:00:00,-82 days +15:44:00,2 days 22:16:00
319,WO116929-10,16|17,304,2024-01-23 13:06:00.000,2024-04-24 00:00:00.000,-92 days +13:06:00,-92 days +08:02:00,0 days 05:04:00
